bq#,title,comp_date,composer,dates,arranger,instrumentation,state,ui_library,digitized,notes,column_12,column_13,column_14,column_15,column_16,column_17,column_18,column_19,column_20,column_21,column_22,column_23,column_24,column_25,column_26,column_27,column_28,column_29
163,Brass Quintet No. 2,,Nelhybel,,,,copy,n,y,,,,,,,,,,,,,,,,,,,
164,All Breathing Life,,Bach,,Smith,2111,copy,n,y,,,,,,,,,,,,,,,,,,,
165,Largo al Factotum,,Rossini,,Kulesha,2111,copy,,y,,,,,,,,,,,,,,,,,,,
166,Allegro and Air from King Arthur,,Purcell,(1658-1695),King,,copy,,y,,,,,,,,,,,,,,,,,,,
167,Wachet Auf Sleepers Awake,,Krebs,,Lockwood,,copy,,n,,,,,,,,,,,,,,,,,,,
168,Selections from the Sound of Music,,Rogers and Hammerstein,,Gale,,copy,,y,,,,,,,,,,,,,,,,,,,
169,Stephen Foster Medley,,Foster,,Gale,,copy,,y,,,,,,,,,,,,,,,,,,,
170,Lassus Trombone,,Filmore,,Singleton,,copy,,y,,,,,,,,,,,,,,,,,,,
171,Just a Closer Walk,,Traditional,,Gillis,,copy,,y,,,,,,,,,,,,,,,,,,,
172,Ragtime Suite for Brass Quintet,,Various,,Frackenpohl,,copy,,y,,,,,,,,,,,,,,,,,,,
173,Fly Me to the Moon,,Howard,,Gale,,copy,,y,,,,,,,,,,,,,,,,,,,
174,Six Marches for Brass Quintet,,Various,,Schmidt,,copy,,y,,,,,,,,,,,,,,,,,,,
175,The Conquered Quest,,Wan-Ki Lee,,,,orig,,n,,,,,,,,,,,,,,,,,,,
176,The Saints' Hallelujah,,Various,,Henderson,,copy,,y,,,,,,,,,,,,,,,,,,,
177,Sonata for Brass Quintet,1980,Bourgeois,,,,copy,,y,,,,,,,,,,,,,,,,,,,
178,Suite for Brass Quintet,1965,Haufrecht,,,,copy,,y,,,,,,,,,,,,,,,,,,,
179,Wo die schönen Trompeten blasen,,Mahler,,Block,,copy,,y,,,,,,,,,,,,,,,,,,,
180,Sonata No. 2,,Pezel,,King,,copy,,y,,,,,,,,,,,,,,,,,,,
181,Satirical Dance,,Shostakovich,,Raph,,copy,,y,,,,,,,,,,,,,,,,,,,
182,Ricochet,1994,Turner,,,,copy,,y,,,,,,,,,,,,,,,,,,,
183,Passacaglia and Fugue in C minor,1981,Bach,,Balm,,copy,,y,,,,,,,,,,,,,,,,,,,
184,Quintet No. 1,,Ewald,,Thomas,,copy,,y,,,,,,,,,,,,,,,,,,,
185,Five Pieces for Brass Choir,,Bach,,Gordon,,copy,,y,,,,,,,,,,,,,,,,,,,
186,Three Pieces,,Holborne,,Glassel,,original,,,,,,,,,,,,,,,,,,,,,
187,Galliard battaglia,,Scheidt,,King,,original,,,,,,,,,,,,,,,,,,,,,
188,Four Essays for Brass Quintet,,Riley,,,,original,,y,,,,,,,,,,,,,,,,,,,
189,"Jazz Waltz ""Pink Rabbit""",,Peterson,,,,orig,,y,,,,,,,,,,,,,,,,,,,
190,Variations Abominables,1989,Girard,,,,orig,,y,,,,,,,,,,,,,,,,,,,
191,Three Fanfares,,Korngold,,,,orig,,y,,,,,,,,,,,,,,,,,,,
192,Consort Music for Brass Quintet,,Adson,,Baldwin,,orig,,y,,,,,,,,,,,,,,,,,,,
193,Sarabande and Minuet,,Bach,,Corley,,orig,n,y,"missing brtn, copy avail.",,,,,,,,,,,,,,,,,,
194,Two Madrigals,,Wilbye,,Baldwin,,orig,,y,,,,,,,,,,,,,,,,,,,
195,"Expressions for Brass Quintet, Op. 81","1951, 1981",Tcherepnin,,Borsheim,,orig,,,,,,,,,,,,,,,,,,,,,
196,Two Songs,,Brahms,,Lockwood,,orig,,y,,,,,,,,,,,,,,,,,,,
197,Six Pieces for Brass Choir or Quintet,,Pezel,,King,,,,y,,,,,,,,,,,,,,,,,,,
198,Exhibition,1964,Tull,,,,orig,,,,,,,,,,,,,,,,,,,,,
199,Movement for Brass Quintet,1985,Gooch,,,,orig,,y,,,,,,,,,,,,,,,,,,,
200,Old Man March,,Nagel,,,,orig,,,,,,,,,,,,,,,,,,,,,
201,Allegro for Brass Quintet,,Loeillet,,Crown,,orig,,y,,,,,,,,,,,,,,,,,,,
202,My Spirit Be Joyful,,Bach,,Herforth,,orig,,,,,,,,,,,,,,,,,,,,,
203,Quintet for Brass,1963,"Hartley, Walter S.",,,,org,,y,,,,,,,,,,,,,,,,,,,
204,Two Pieces,,Schein,,King,,orig,,y,,,,,,,,,,,,,,,,,,,
205,Two Pieces,,Brade,,King,,orig,,y,,,,,,,,,,,,,,,,,,,
206,Two Pavans,,Franck,,King,,orig,,y,,,,,,,,,,,,,,,,,,,
207,"Sonata No, 25",,Pezel,,King,,orig,,y,,,,,,,,,,,,,,,,,,,
208,Libro Primo 5 La Maggia,,Maschera,,,,,,,,,,,,,,,,,,,,,,,,,
209,Brass Quintet No. 2,,Miller,,,,,,,,,,,,,,,,,,,,,,,,,
210,Black and Blue,,Pilafian,,,,,,,,,,,,,,,,,,,,,,,,,
211,Rondeau,,Mouret,,King,,,,,,,,,,,,,,,,,,,,,,,
212,Earle of Oxford's Marche,,Byrd,,??,,,,,,,,,,,,,,,,,,,,,,,
213,Polka from the Golden Age,,Shostakovich,,Filippo,,,,,,,,,,,,,,,,,,,,,,,
214,Fanfare on A and C,,Dahl,,,,,,,,,,,,,,,,,,,,,,,,,
