Arranger,Composer,Title,Folder/Catalogue #,# Copies,Voicing,Publisher,Publication or Reprint Date,OCLC#,Season / Type,Extra Instruments & Info,,,,,,,,,,,,,,,,,
,"Bach, J.S.","Jesu, Priceless Treasure: Four Chorales",29,58,SATB,G. Schirmer,,,,,,,,,,,,,,,,,,,,,
,"Bach, J.S.",A Mighty Fortress is our God,30,57,SATB,M. Witmark & Sons,,,,a cappella,,,,,,,,,,,,,,,,,
,"Bach, J.S.",Sanctus (from B minor Mass),34,29,SSAATB,E.C. Shirmer ,,,,Piano,,,,,,,,,,,,,,,,,
,"Bach, J.S.",The King of Love (Vespers Choral Collection),859,15,SATB,Boosey & Hawks,,,Collection,Piano,,,,,,,,,,,,,,,,,
,"Bach, J.S.",Magnificat,1092,19,SATB,Lawson-Gould/Peters,,,Extended,Piano,,,,,,,,,,,,,,,,,
,"Bach, J.S.",Christ Lay in Death's Dark Prison,1108,60,SATB,H. W. Gray,,,"Extended, Easter",Piano,,,,,,,,,,,,,,,,,
"Tkach, Peter","Bach, J.S.","Blessing, Glory and Wisdom",1112,40,SATB,Neil A. Kjos Music ,,,,A cappella,,,,,,,,,,,,,,,,,
,"Bach, J.S.",Ein feste Burg ist unser Gott,1124,25,SATB,Carus,,,"Cantata, extended work",Orchestra,,,,,,,,,,,,,,,,,
,"Bach, J.S.",Sixty Chorales,1295,5,SATB,Oliver Ditson ,,,Collection,A cappella,,,,,,,,,,,,,,,,,
,"Bach, J.S.",Sing Ye to the Lord,1297,60,SATB,H.W. Gray ,,,"Motet, extended","A cappella, double choir",,,,,,,,,,,,,,,,,
,"Bach, J.S.","Passion According to St. Matthew, The",1305,3,SATB,G. Schirmer,,,Extended,Orchestra,,,,,,,,,,,,,,,,,
"Williams, Bennett","Bach, J.S.","Sleepytime Bach (Sleepers Wake, Cantata)",1382,12,SATB,Sam Fox,,,Cantata,String bass and snare drum,,,,,,,,,,,,,,,,,
,"Bach, J.S.",Alleluia from Und ist ein kind geboren,1922,25,SATB,CPD,,,,Piano,,,,,,,,,,,,,,,,,
,"Bach, J.S.",O Jesulein,1983,20,SATB,No info,,,,A cappella,,,,,,,,,,,,,,,,,
,"Bach, J.S.","Cantata No. 79 Gott, der Herr, ist Som' und Schild",1992,2,SATB,Serenissima,,,Extended Work,Piano,,,,,,,,,,,,,,,,,
"Markev, Michael","Bach, J.S.","Gott fahret auf mit Jauchzen, BWV43",2034,5,SATB,Carlus Verlag,,,,String parts included,,,,,,,,,,,,,,,,,
"Snodgrass, Louise","Bach, J.S.",Bouree,2241,20,SSA,Harold Flammer,,,,Piano,,,,,,,,,,,,,,,,,
"Doebele, Alexa","Bach, J.S.","Nimm Mich Mir (from ""Nur jedem das Seine"")",2367,30,SA,Colla Voce,,,,"Basso continuo, violin",,,,,,,,,,,,,,,,,
"Williams, Bennett","Bach, J.S.","Bourree For Bach (from ""2nd English Suite"")",2409,2,SATB,Sam Fox,,,,"String bass, snare drum",,,,,,,,,,,,,,,,,
"Gilbert, Nina","Bach, J.S.",Sinfonia in D,2414,10,TBB,Mark Foster,,,Vocal-adapted keyboard,A cappella,,,,,,,,,,,,,,,,,
,"Bach, J.S.","Lobet den Herrn, alle Heiden",2426,2,SATB,No info,,,Motet,Organo,,,,,,,,,,,,,,,,,
"Luvaas, Morten J.","Bach, J.S.","Come, Holy Spirit",2501,2,SATB,C.C. Birchard,,,,A cappella,,,,,,,,,,,,,,,,,
,"Bach, J.S.","Come, O Lord, With Gladness/Now Thank We All Our God",2502,2,SATB,M. Whitmark,,,,A cappella,,,,,,,,,,,,,,,,,
,"Bach, J.S.",The Spirit Also Helpeth Us,2601,51,SATB,H.W. Gray,,,Extended Work,Orchestra,,,,,,,,,,,,,,,,,
,"Bach, J.S.",Motets (BWV 225-230),2611,4,SATB,Barenreiter,,,Motet Collection,A cappella,,,,,,,,,,,,,,,,,
,"Bach, J.S.",Sleeper's Wake Cantata 140,2612,52,SATB,"G. Schirmer/6 copies H.W. Gray, 1 Kalmus",,,"Cantata, Extended Work",Piano or organ,,,,,,,,,,,,,,,,,
,"Bach, J.S.",Christmas Oratorio,2658,3,SATB,Schirmer,,,"Extended Work, Oratorio, Christmas",Orchestra,,,,,,,,,,,,,,,,,
,"Bach, J.S.","Cantata No. 61 (Nun komm, der heiden heiland)",2664,1,SATB,Kalmus,,,Extended Work,Orchestra parts,,,,,,,,,,,,,,,,,
,"Bach, J.S.","Praise the Lord, All Ye Nations (Motet VI)",1137 /3 envelopes,50,SATB,C. F. Peters ,,,Extended,Continuo,,,,,,,,,,,,,,,,,
,"Bach, J.S.",Christmas Oratorio (Part 1),1298 /5 envelopes,100,SATB,G. Schirmer,,,"Christmas, extended",Piano,,,,,,,,,,,,,,,,,
,"Bach, J.S.","Come, Jesu, Come",1299 /3 envelopes,60,SATB,H. W. Gray,,,Extended,"A cappella, double choir",,,,,,,,,,,,,,,,,
,"Bach, J.S.","Jesu, Meine Freude (Jesus My Great Pleasure)",1301 /4 envelopes,45,SATB,C. F. Peters ,,,"Extended, motet",Orchestra parts included,,,,,,,,,,,,,,,,,
,"Bach, J.S.",Be Not Afraid (Furchte dich nicht),1302 /5 envelopes,60,SATB,C. F. Peters ,,,"Extended, motet","Orchestra, double choir",,,,,,,,,,,,,,,,,
"Damrosch, Frank","Bach, J.S.",God's Time is the Best (Sacred Cantata No. 106),25 /2 envelopes,23,SATB,G. Schirmer,,,"Cantata, Extended Work",Orchestra,,,,,,,,,,,,,,,,,
,"Bach, J.S.",Kantate Nr. 4 (Christ lag in Todesbanden),2600 /3 envelopes,36,SATB,Edition Breitkopf,,,Extended Work,Orchestra,,,,,,,,,,,,,,,,,
"Cain, Noble","Bach, J.S.","My Soul, Praise Thou the Lord of Hosts",31 /2 envelopes,67,SATB,Choral Art ,,,Thanksgiving,Piano,,,,,,,,,,,,,,,,,
,"Bach, J.S.",The Peasant Cantata,32 /2 envelopes,26,SATB,Paterson's Publictions Ltd.,,,"Extended Work, Canata",orchestra,,,,,,,,,,,,,,,,,
"Krone, Max T.","Bach, J.S.",Ye Are Not Of The Flesh,37 /2 envelopes,57,SSATB,Kijos Music Co.,,,,piano,,,,,,,,,,,,,,,,,
,"Bach, J.S.",H-molle Messe (Parts),938 /2 envelopes,60,SATB,Edwin F. Kalmus,,,Extended,Orchestra,,,,,,,,,,,,,,,,,
"Nystedt, Knut","Bach, J.S. ",Immortal Bach,22,27,SATB,,,,,A cappella,,,,,,,,,,,,,,,,,
,"Bach, J.S. ","“Sleeper's wake!"" A voice is sounding",1377,25,SATB,Schirmer,,,"From church Cantata, No. 140",Piano,,,,,,,,,,,,,,,,,
,"Bach, J.S. ",Magnificat in D Major,2603,30,SATB,"Barenreiter, Schirmer, Edition Peters",,,Extended Work,"Organ score included, orchestra parts in brown box on bottom shelf at the end of the choral shelves",,,,,,,,,,,,,,,,,
,"Bach, J.S. ",St. John Passion,2604,17,SATB,"Kalmus, Schirmer, H.W. Gray",,,Extended Work,Orchestra parts in separate marked box,,,,,,,,,,,,,,,,,
,"Bach, J.S. ",Johannes Passion,1099 4/ envelopes,40,SATB,Kalmus,,,"Extended, oratorio",Each envelop has one part,,,,,,,,,,,,,,,,,
,"Bach, J.S. ","Lobet den Herrn, alle Heiden",1982 /4 envelopes,40,SATB,Collgium Music ,,,,Continuo/string parts included,,,,,,,,,,,,,,,,,
,"Bach, J.S. ",Forty Bach Chorales,511 /2 envelopes,6,SATB,CPDL,,,Collection,Keyboard,,,,,,,,,,,,,,,,,
"Bartle, Jean Ashworth","Bach, Johann S.",Suscepit Israel,2345,24,SSA,Hinshaw ,,,,Piano,,,,,,,,,,,,,,,,,
,"Bach, P.D.Q./Schickele",Good King Kong Looked Out,1435,30,SATB,Theodore Presser,,,Christmas,A cappella,,,,,,,,,,,,,,,,,
Simeone,"Bacharach, Burt",Walk On By,1208,5,SATB,Blue Seas Music,,,Jazz,Piano,,,,,,,,,,,,,,,,,
,"Bacon, Ernst",Five Hymns,1192 /3 envelopes,60,SATB,Copies,,,,Piano or organ,,,,,,,,,,,,,,,,,
,"Bahler, John",I Wanna Know,1213,15,SATB,Vortex,,,Jazz,Rhythm section,,,,,,,,,,,,,,,,,
,"Bahler, John",Sunny Sunday,1243,20,SATB,Vortex Music ,,,Jazz,Rhythm section,,,,,,,,,,,,,,,,,
,"Baksa, Robert",And Will You Leave Me So?,2512,2,SATB,Boosey & Hawkes,,,,A cappella,,,,,,,,,,,,,,,,,
"Maganini, Quinto","Banchieri, Adriano",Madrigal to a Nightingale,40,41,SSATB,Edition Musicus,,,,a cappella,,,,,,,,,,,,,,,,,
Grayson,"Banchieri, Adriano",Counterpoint of the Animals,1019,20,SSATB,Bourne,,,,A cappella,,,,,,,,,,,,,,,,,
,"Banks, Mary",Sea Dirge,41,25,SATB,Mimeographed Copies,,,,,,,,,,,,,,,,,,,,,
,"Bantock, Granville",Jack and Joan,42,33,SATB,J. Curwen & Sons,,,,a cappella,,,,,,,,,,,,,,,,,
,"Bantock, Granville",Sea Sorrow,43,29,SSAATTBB,J. Curwen & Sons,,,,"a cappella, solo contralto",,,,,,,,,,,,,,,,,
,"Barber, Samuel","Let Down the Bars, O Death",44,50,SATB,G. Schirmer,,,,a cappella,,,,,,,,,,,,,,,,,
,"Barber, Samuel",Mary Hynes,45,40,SATB,G. Schirmer,,,,a cappella,,,,,,,,,,,,,,,,,
,"Barber, Samuel",Twelfth Night,1288,35,SATB,Schirmer,,,,A cappella,,,,,,,,,,,,,,,,,
,"Barber, Samuel",Anthony O Daly,1404,40,SATB,G. Schirmer,,,Part song,"Reincarnations #2 #1 folder 45, a cappella",,,,,,,,,,,,,,,,,
,"Barber, Samuel","Coolin, The",1405,40,SATB,G. Schirmer,,,Part song,"Reincarnations #3 #1 folder 45, a cappella",,,,,,,,,,,,,,,,,
