Arranger,Composer,Title,Folder/Catalogue #,# Copies,Voicing,Publisher,Publication or Reprint Date,OCLC#,Season / Type,Extra Instruments & Info,,,,,,,,,,,,,,,,,
,Berger,Hawaii Ponoi ,2130,25,SATB,No info,,,,A cappella,,,,,,,,,,,,,,,,,
,"Berger, Jean",Alleluia (Brazilian Psalm),55,18,SATBB,G. Schirmer,,,,a cappella,,,,,,,,,,,,,,,,,
,"Berger, Jean",Speak to One Another of Psalms,1004,20,SATB,Augsburg ,,,,A cappella,,,,,,,,,,,,,,,,,
,"Berger, Jean",A Song of Seasons,1086,35,SATB,John Sheppard,,,Extended,Melodica and percussion,,,,,,,,,,,,,,,,,
,"Berger, Jean",Vision of Peace,1106,61,SATB,Broude Brothers,,,Extended,A cappella,,,,,,,,,,,,,,,,,
,"Berger, Jean",A Rose Touched By the Sun's Warm Rays,1550,7,SATB,Augsburg ,,,No. 3 of Devotional Songs,A cappella,,,,,,,,,,,,,,,,,
,"Berger, Jean",Psalm 86,1562,3,SATB,Harold Flammer ,,,Sacred,treble instruments,,,,,,,,,,,,,,,,,
,"Berger, Jean",Skeleton Poems,2607,24,SATB,Alexander Broude,,,Extended Work,Piano or organ,,,,,,,,,,,,,,,,,
,"Berger, Jean",Hear the Singing,56 /2 envelopes,59,SATB,G. Schirmer,,,,a cappella,,,,,,,,,,,,,,,,,
,"Berger, Jean",Magnificat,942 /4 envelopes,50,SATB,Sheppard,,,,"Sop solo, flute, tambourine, triangle",,,,,,,,,,,,,,,,,
,"Bergh, A.",Pledge of Allegiance,57,84,SATB,Sam Fox,,,,piano,,,,,,,,,,,,,,,,,
,"Bergh, Arthur",The Pledge of Allegiance,2211,60,SSA,Samfox ,,,Patriotic,Piano,,,,,,,,,,,,,,,,,
"Ades, Hawley","Berlin, Irving",A Choral Portrait,58 /3 envelopes,56,SATB,Shawnee Press,,,,Piano,,,,,,,,,,,,,,,,,
,"Berlioz, Hector",A Dance of Ghosts,1136 /2 envelopes,50,STTB,Broude Brothers,,,,Piano,,,,,,,,,,,,,,,,,
,"Berlioz, Hector",Childhood of Christ,951 /4 envelopes,120,SATB,Kalmus,,,,Orchestra,,,,,,,,,,,,,,,,,
,"Bernstein, Leonard",Sanctus,60,30,SATB and Treble Choir,Schirmer,,,,2 piano,,,,,,,,,,,,,,,,,
,"Bernstein, Leonard",Almighty Father,1475,7,SATB,Boosey & Hawks,,,,A cappella,,,,,,,,,,,,,,,,,
,"Bernstein, Leonard","Soldier's Song from The Lark""""",1647,42,7-Part,Boosey & Hawks,,,,Drum,,,,,,,,,,,,,,,,,
"Edgerton, Robert","Bernstein, Leonard",Somewhere,1734,30,SATB,Bosset and Hawkes,,,,A cappella ,,,,,,,,,,,,,,,,,
,"Bernstein, Leonard",Sanctus (From Mass),2033,35,SATB Treble choir,Boosey & Hawkes,,,,4-hand piano,,,,,,,,,,,,,,,,,
,"Bernstein, Leonard",Gloria Tibi,2310,66,SA,Boosey & Hawkes,,,,"Piano, Bongos, tenor solo",,,,,,,,,,,,,,,,,
,"Bernstein, Leonard",Warm-Up,2347,28,SATB,Boosey & Hawkes,,,,A cappella,,,,,,,,,,,,,,,,,
"Page, Robert","Bernstein, Leonard",Make Our Garden Grow,2516,2,SATB,Boosey & Hawkes,,,,Piano,,,,,,,,,,,,,,,,,
,"Bernstein, Leonard",Chichester Psalms,2608,40,SATB,G. Schirmer and Boosey & Hawkes,,,Extended Work,Orchestra,,,,,,,,,,,,,,,,,
,"Besig, Don",Love Grows Here,2388,7,SA,Glory Sound,,,,Piano,,,,,,,,,,,,,,,,,
,"Besig, Jon","Joy That is Music, The",1570,7,SATB,Shawnee Press,,,,"Piano, opt brass",,,,,,,,,,,,,,,,,
,"Besly, Maurice","Shepherds Had an Angel, The",61 /2 envelopes,63,"Solo Sop, SATB, Cor Anglais",J. Curwen & Sons,,,Christmas,"Solo soprano, Cor Anglais",,,,,,,,,,,,,,,,,
,"Beyer, H.F.",Fighting Vandals,63,104,SATB,,,,,,,,,,,,,,,,,,,,,,
,"Bialosky, Marshall",Of Music and Musicians,2280,3,SSAA,Theodore Presser,,,,A cappella,,,,,,,,,,,,,,,,,
,"Biebl, Franz",Ave Maria,2374,22,TTBB,Hinshaw,,,,A cappella,,,,,,,,,,,,,,,,,
,"Bieble, Fraz",Ave Maria,1927,25,SATB,Hinshaw,,,,A cappella,,,,,,,,,,,,,,,,,
"Parker, Alice & Shaw, Robert","Billings, William",Chester,64,42,SATB,G. Schirmer,,,,a cappella,,,,,,,,,,,,,,,,,
"Parker, Alice & Shaw, Robert","Billings, William",When Jesus Wept,65,41,SATB,G. Schirmer,,,,a cappella,,,,,,,,,,,,,,,,,
"Daniel, Oliver","Billings, William","Bird, The",66,60,SATB,C.C. Birchard & ,,,,Piano,,,,,,,,,,,,,,,,,
"Daniel, Oliver","Billings, William","The Shepard's Carol: ""Shiloh""",67,47,SATB,C.C. Birchard & Co.,,,Christmas,a cappella,,,,,,,,,,,,,,,,,
,"Billings, William",I Am the Rose of Sharon,84,1,SATB,G. Schirmer,,,Anthem,A cappella,,,,,,,,,,,,,,,,,
"Dickinson, Clarence","Billings, William",A Virgin Unspotted,239,52,SATB,Music Press ,,,Christmas Carol,A cappella,,,,,,,,,,,,,,,,,
,"Billings, William",A Virgin Unspotted,1928,28,SATB,Walton Music Corp,,,Christmas,A cappella,,,,,,,,,,,,,,,,,
,"Billings, William",A Virgin Unspotted,1928,28,SATB,Walton Music,,,Christmas,A cappella,,,,,,,,,,,,,,,,,
"Dickinson, Clarence","Billings, William",Three Fuguing Tunes,68 /2 envelopes,40,SATB,Music Press ,,,,Piano,,,,,,,,,,,,,,,,,
"Bateman, Christian Henry","Billingsly, William",Come Christmas Join To Sing,69,2,SATB,Mimeographed Copies,,,Christmas,a cappella,,,,,,,,,,,,,,,,,
,"Billingsly, William",The Paradox,70,46,SATB,Mimeographed Copies,,,,w/orchestra,,,,,,,,,,,,,,,,,
,"Binkard, Gordon",Ad te levavi,886,20,SATB,Associated ,,,,A cappella,,,,,,,,,,,,,,,,,
,"Binkard, Gordon",To Electra (Set One),1483,6,SATB,Boosey & Hawkes,,,,"5 movements, 2 copies each, a cappella",,,,,,,,,,,,,,,,,
,"Binkard, Gordon",To Electra (Set Two),1484,8,SATB,Boosey & Hawkes,,,,"part 2 of a song cycle - Movements 6-9, a cappella",,,,,,,,,,,,,,,,,
,"Binkard, Gordon",Institutional canons for Mixed Voices,1497,1 set,4-voices,Boosey & Hawkes,,,Round,"One complete set of three movements, a cappella",,,,,,,,,,,,,,,,,
,"Binkard, Gordon",Tommorrow the Fox Will Come to Town,1498,3,SATB,Boosey & Hawkes,,,,A cappella,,,,,,,,,,,,,,,,,
,"Binkerd, Gordon",Alleluia For St. Francis,2473,2,SA or TB,Boosey & Hawkes,,,,A cappella,,,,,,,,,,,,,,,,,
,"Binkerd, Gordon",Autumn Flowers,2474,2,SSATB,Boosey & Hawkes,,,,A cappella,,,,,,,,,,,,,,,,,
,"Binkerd, Gordon",Confitebor Tibi,2475,2,SATB,Boosey & Hawkes,,,,A cappella,,,,,,,,,,,,,,,,,
,"Binkerd, Gordon",The Ebb and Flow,2476,2,SATB,Boosey & Hwkes,,,,A cappella,,,,,,,,,,,,,,,,,
,"Binkerd, Gordon",Epitaphs,2477,2,SATB,Boosey & Hawkes,,,,A cappella,,,,,,,,,,,,,,,,,
,"Binkerd, Gordon",The Recommendation,2503,2,SATB,Boosey & Hawkes,,,,A cappella,,,,,,,,,,,,,,,,,
,"Binkerd, Gordon",Third Mass of Christmas and Octave Day of Christmas,2504,2,SATB,Boosey & Hawkes,,,Christmas,Organ,,,,,,,,,,,,,,,,,
,"Binkerd, Gordon",Remember Now Thy Creator,2505,2,SATB,Boosey & Hawkes,,,,"Organ, sop solo",,,,,,,,,,,,,,,,,
,"Binkerd, Gordon",Salutis Humanae Sator,2506,2,SATB,Boosey & Hawkes,,,,A cappella,,,,,,,,,,,,,,,,,
,"Binkerd, Gordon",The Work,2507,2,SATB,Boosey & Hawkes,,,,A cappella,,,,,,,,,,,,,,,,,
,"Binkerd, Gordon",Memorial,2508,2,SATB,Boosey & Hawkes,,,,A cappella,,,,,,,,,,,,,,,,,
,"Binkerd, Gordon",Omnes Gentes,2509,2,SATB,Boosey & Hawkes,,,,A cappella,,,,,,,,,,,,,,,,,
,"Binkerd, Gordon",Nocturne,2510,2,SATB,Boosey & Hawkes,,,,Cello,,,,,,,,,,,,,,,,,
,"Binkerd, Gordon",Psalm 23,2511,2,SATB,Boosey & Hawkes,,,,"Organ, tenor solo",,,,,,,,,,,,,,,,,
,"Bird, Hubert",Adam Lay Ybounden,1929,40,SATB,Alliance,,,,A cappella,,,,,,,,,,,,,,,,,
,"Bisbee, B. Wayne",Shojojee ,1371,3,SSA,Santa Barbara,,,Japanese folk,"Piano, percussion",,,,,,,,,,,,,,,,,
"Remick, Bertha","Bizet, G",Gypsy Song (From Carmen),2194,6,SSA,CC Birchard,,,,Piano,,,,,,,,,,,,,,,,,
,"Bizet, G.","Habanera (from ""Carmen"")",2413,2,SATB,Schirmer,,,,"Mezzo solo, piano",,,,,,,,,,,,,,,,,
"Lathrop, Roy","Bizet, Georges",Agnus Dei,71,71,SATB,Pro Art Publications,,,,Piano,,,,,,,,,,,,,,,,,
,"Bizet, Georges",Te Deum,2609,38,SATB,Simrock/Hamburg,,,Extended Work,Piano or organ,,,,,,,,,,,,,,,,,
,"Bizet, Georges",Valse Avec Choeur,1196 /3 envelopes,45,SATB,Schott's Choral Library,,,Waltz,Piano,,,,,,,,,,,,,,,,,
,"Bizet, Georges","Habanera from ""Carmen""",72 /2 envelopes,54,"Solo mezzo-sop, SATB, Cor Anglais",Oliver Ditson ,,,,Solo mezzo-soprano,,,,,,,,,,,,,,,,,
,"Black, Charles",Let Carols Ring,74,62,SATB,H.W. Gray ,,,Christmas,a cappella,,,,,,,,,,,,,,,,,
,"Black, F.J.",You Are Music,75,23,SATB,Sam Fox,,,,Piano,,,,,,,,,,,,,,,,,
,"Blakeslee, S. Earle",Drink to Me Only With Thine Eyes,76,24,SSAATTBB,Music Products ,,,,a cappella,,,,,,,,,,,,,,,,,
,"Bloch, Ernest",Sacred Service (Avodath Hakodesh),1098,16,SATB,Broude Brothers,,,Extended,A cappella,,,,,,,,,,,,,,,,,
Joyce,Bloom/Mercer,Fools Rush In,1176,12,SATB,First Place,,,Jazz,Rhythm section,,,,,,,,,,,,,,,,,
,"Blow, John",Sing Ye Muses,1931,25,SATB,National Music,,,,Optional strings,,,,,,,,,,,,,,,,,
,"Bobrowitz, David",The Creation,1140 /2 envelopes,35,SATB,Walton Music,,,"Cantata, Extended",Rock ensemble,,,,,,,,,,,,,,,,,
,"Bogert, Walter L.",God of Years,78,19,SATB,G. Schirmer,,,,opt. organ,,,,,,,,,,,,,,,,,
"Bainum, Glenn Cliffe","Boito, Arrigo","Prologue to the Opera ""Mefistofele""",80,33,SATB,Educational Music Service,,,,Piano,,,,,,,,,,,,,,,,,
,"Borodin, Alexander",Polovetzian Dance and Chorus (Prince Igor),79,17,SATB,G. Schirmer,,,,Piano,,,,,,,,,,,,,,,,,
Tchaikovsky,"Bortniansky, Dimitri","Lo, A Voice to Heaven Sounding",81,35,SATB,E.C. Schirmer ,,,,a cappella,,,,,,,,,,,,,,,,,
,"Bortniansky, Dimitry",Heruvimskaya pesh no. 7 (The Cherubic Hymn),1932,26,SSATBB,Musica Russica,,,,A cappella,,,,,,,,,,,,,,,,,
"Pitcher, Gladys","Bottomly, Joseph","My Bonnie Lass, She Smileth",82,58,SATB,C.C. Birchard,,,Madrigal,a cappella,,,,,,,,,,,,,,,,,
,"Boulanger, Lili",Renouveau (Spring),1649 /3 envelopes,39,SATT,G. Schirmer,,,,Piano,,,,,,,,,,,,,,,,,
,"Bouman, Paul",The Duel,2283,20,SSA,Earthsongs,,,,Oboe or soprano sax and Piano,,,,,,,,,,,,,,,,,
,"Bowie, William",Hast Thou Not Known?,2518,2,SATB,Boosey & Hawkes,,,Anthem,Organ,,,,,,,,,,,,,,,,,
,"Bowie, William",My Rock and My Castle,2519,2,SATB,Boosey & Hawkes,,,,Organ,,,,,,,,,,,,,,,,,
,"Boyd, Robert A.",Under the Greenwood Tree,2263,50,SSA,MArk Foster,,,,A cappella,,,,,,,,,,,,,,,,,
"Hall, William D.","Brahms, J.",Neckereien (flirtation),2011,25,SATB,National Music ,,,,Piano,,,,,,,,,,,,,,,,,
"Klein, Maynard","Brahms, J.",O Schone Nacht (O Lovely Night),2012,25,SATB,Schirmer,,,,Piano,,,,,,,,,,,,,,,,,
,"Brahms, J.",Lass dich nur nichts nicht dauren,2052,30,SATB,Thorpe Music ,,,,Organ or piano 3or4 hands,,,,,,,,,,,,,,,,,
"Parker, Alice & Shaw, Robert","Brahms, Johannes",Da Unter Im Tale/In Stiller Nacht,83,45,SATB,G. Schirmer,,,,a cappella,,,,,,,,,,,,,,,,,
Maynard Klein,"Brahms, Johannes",Im Herbst (In Autumn),86,39,SATB,G. Schirmer,,,,a cappella,,,,,,,,,,,,,,,,,
Maynard Klein,"Brahms, Johannes",Letztes Glück (Last Happiness),88,10,SSATBB,G. Schirmer,,,,a cappella,,,,,,,,,,,,,,,,,
Archie N. Jones,"Brahms, Johannes",Lullaby,89,94,SATB,Paul A. Schmitt,,,,a cappella,,,,,,,,,,,,,,,,,
,"Brahms, Johannes","Songs of Mary (Marienlieder) No. 2 ""Mary Goes to Church""",90,50,SATB,Choral Arts Publications,,,,A cappella,,,,,,,,,,,,,,,,,
Maynard Klein,"Brahms, Johannes",Nachtwache (Night Watch),93,10,SSATBB,G. Schirmer,,,,A cappella,,,,,,,,,,,,,,,,,
,"Brahms, Johannes","O Savior, throw the heavens wide ""O Heiland, reiss die Himmel auf",94,20,SATB,G. Schirmer,,,Motet,A cappella,,,,,,,,,,,,,,,,,
Roger Granville,"Brahms, Johannes","Songs of Mary (Marienlieder) No. 7 ""Praise to Mary""",95,46,SATB,Choral Arts Publications,,,,A cappella,,,,,,,,,,,,,,,,,
Roger Granville,"Brahms, Johannes","Songs of Mary (Marienlieder) No. 5 ""Prayer to Mary""",96,47,SATB,Choral Arts Publications,,,,A cappella,,,,,,,,,,,,,,,,,
M.T.K.,"Brahms, Johannes",A Saving Health to Us is Brought (Es ist das Heil uns kommen her),97,22,SAATB,M. Witmark & Sons,,,Motet,A cappella,,,,,,,,,,,,,,,,,
,"Brahms, Johannes",A Sigh Goes Stirring through the Wood (Es geht ein wehen durch den Wald),98,65,SATB,"Associated Music Publishers,  Inc.",,,,A cappella,,,,,,,,,,,,,,,,,
,"Brahms, Johannes",Six Folk Songs,99,11,SATB,Edward B. Marks Music Corporation,,,,A cappella,,,,,,,,,,,,,,,,,
Augustus D. Zanzig,"Brahms, Johannes",Thy Heart So Mild (Dein Herzlein Mild),100,28,SATB,Oliver Ditson ,,,,A cappella,,,,,,,,,,,,,,,,,
,"Brahms, Johannes",Zigeunerlieder,1089,21,SATB,Schirmer,,,Extended,"Sop and ten solos, piano",,,,,,,,,,,,,,,,,
,"Brahms, Johannes",Brausten Alle Berge,1111,20,SATBB,Schirmer,,,,A cappella,,,,,,,,,,,,,,,,,
"Rutter, John","Brahms, Johannes",Vier Lieder aus dem Jungbrunnen,1126,3,SSAA,Collegium Music,,,,Piano,,,,,,,,,,,,,,,,,
,"Brahms, Johannes",Three Folk Songs,1132,30,SAB,Edward B. Marks,,,Folk,A cappella,,,,,,,,,,,,,,,,,
,"Brahms, Johannes",Messe,1197,25,SATB,Doblinger,,,,Continuo,,,,,,,,,,,,,,,,,
,"Brahms, Johannes",Tafellied,1284,20,SATB,Copies,,,,Piano,,,,,,,,,,,,,,,,,
,"Brahms, Johannes",Mary's Journey to Church,1453,20,SATB,E.C. Schirmer,,,"Madrigal, #2 of Marian Lieder",A cappella,,,,,,,,,,,,,,,,,
,"Brahms, Johannes",Angelic Greeting,1454,25,SATB,E.C. Schirmer ,,,#1 of Marian Lieder,A cappella,,,,,,,,,,,,,,,,,
Sally Herman,"Brahms, Johannes",Gute Nacht,1512,38,SATB,Shawnee Press,,,,A cappella,,,,,,,,,,,,,,,,,
,"Brahms, Johannes","Create in Me, O God, Op29, No 2 Schaffe in mir, Gott",1934,26,SATBB,Schirmer,,,,A cappella,,,,,,,,,,,,,,,,,
"Frackenpohl, Arthur","Brahms, Johannes",The May Night (Die Mainacht),1937,110,SATB,Edward B. Marks,,,,Piano,,,,,,,,,,,,,,,,,
Pfautsch,"Brahms, Johannes",Five German Folk Songs,2134,30,TTBB,Lawson Gould,,,,Piano,,,,,,,,,,,,,,,,,
"Herman, Sally","Brahms, Johannes",Joyous May Song,2161,7,TTB/TBB,Shawnee Press,,,,A cappella,,,,,,,,,,,,,,,,,
,"Brahms, Johannes",Der Abend (Evening),2352,30,SATB,Schirmer,,,,Piano,,,,,,,,,,,,,,,,,
,"Brahms, Johannes",Weltliche A Cappella Gesange ,2613,21,SATB,Edition Peters,,,Extended Work,A cappella,,,,,,,,,,,,,,,,,
,"Brahms, Johannes",Quartette fur vier Solostimmen mit Pianoforte,2616,41,SATB,Edition Peters,,,Extended Work,Piano,,,,,,,,,,,,,,,,,
,"Brahms, Johannes",Lovesong Waltzes,2662,5,SATB,Associated Music,,,Extended Work,Piano-4 hands,,,,,,,,,,,,,,,,,
,"Brahms, Johannes",Requiem,2666,14,SATB,Various,,,Extended Work,Orchestra,,,,,,,,,,,,,,,,,
,"Brahms, Johannes",Fest Und Gedenkspruche,1139 /3 envelopes,75,SATB,Photocopies,,,Extended,"A cappella, double choir",,,,,,,,,,,,,,,,,
,"Brahms, Johannes",Neue Liebeslieder,1200 /2 envelopes,20,SATB,Copies,,,Extended,2-hand piano,,,,,,,,,,,,,,,,,
,"Brahms, Johannes",How Lovely Is Thy Dwelling Place,1381 /3 envelopes,60,SATB,B.F. Wood,,,"From ""Requiem""",Piano or organ,,,,,,,,,,,,,,,,,
,"Brahms, Johannes","How lovely is Thy dwelling-place, from ""Requiem""",91 /3 envelopes,100,SATB,G. Schirmer,,,,Piano,,,,,,,,,,,,,,,,,
,"Brahms, Johannes",Here On Earth,936 /2 envelopes,50,SATB,Schirmer,,,,Piano,,,,,,,,,,,,,,,,,
,Brahms. Johannes,Rhapsodie,2097,16,TTBB,Schirmer,,,,Piano,,,,,,,,,,,,,,,,,
,"Bratt, C. Griffith",My Lovely Celia,101,60,SATB,Spire Editions,,,,A cappella,,,,,,,,,,,,,,,,,
"Afonzo, Daniel Rufino Jr.",Brazilian Folk,Na Bahia Tem,1700,40,SATB,Alliance,,,,A cappella,,,,,,,,,,,,,,,,,
,"Bridge, Neil W.",A Blues Setting For Voices,2522,3,SATB,Jazz Education Press,,,,Piano,,,,,,,,,,,,,,,,,
,"Bright, Houston",August Noon,104,71,SATB,Shawnee Press,,,,A cappella,,,,,,,,,,,,,,,,,
,"Bright, Houston","""A Child's Garden of Verses""",105,57,SATB,Shawnee Press,,,,A cappella,,,,,,,,,,,,,,,,,
,"Bright, Houston",Rainsong,106,49,SATB,"Associated Music Publishers,  Inc.",,,,A cappella,,,,,,,,,,,,,,,,,
,"Bright, Houston",Reflection,107,49,SATB,Shawnee Press,,,,A cappella,,,,,,,,,,,,,,,,,
,"Bright, Houston",The Stars are with The Voyager,109,55,SATB,Shawnee Press,,,,A cappella,,,,,,,,,,,,,,,,,
,"Bright, Houston",Never Tell Thy Love,1612,20,SATB,Associated Music,,,,A cappella,,,,,,,,,,,,,,,,,
,"Bright, Houston",Sacred Songs For The Night,2250,30,SSA,Shawnee Press,,,,A cappella,,,,,,,,,,,,,,,,,
,"Bright, Houston",We'll Sing a Glory,2520,2,SSATTBB,Shawnee Press,,,,A cappella,,,,,,,,,,,,,,,,,
,"Bright, Houston",A Song in the Wind,108 /2 envelopes,71,SATB,Shawnee Press,,,,A cappella,,,,,,,,,,,,,,,,,
,"Brinsmead, Daniel",Come Sleep,2030,30,SATB,Santa Barbara,,,,A cappella,,,,,,,,,,,,,,,,,
,"Britten, Benjamin",Friday Afternoons (Complete),111,6,Treble Choir,Boosey & Hawkes,,,,Piano,,,,,,,,,,,,,,,,,
,"Britten, Benjamin","Friday Afternoons, Vol. 1",112,34,Treble Choir,Boosey & Hawkes,,,,Piano,,,,,,,,,,,,,,,,,
,"Britten, Benjamin","Friday Afternoons, Vol. 2",113,29,Treble Choir,Boosey & Hawkes,,,,Piano,,,,,,,,,,,,,,,,,
,"Britten, Benjamin",A Hymn to the Virgin,114,84,SATB Double Chorus,Boosey & Hawkes,,,,Double Chorus,,,,,,,,,,,,,,,,,
,"Britten, Benjamin","Old Joe Has Gone Fishing (Round from ""Peter Grimes"")",115,52,SATB,Boosey & Hawkes,,,,piano,,,,,,,,,,,,,,,,,
,"Britten, Benjamin",Saint Nicolas,117,21,SATB,Boosey & Hawkes,,,"Extended Work, Christmas Cantata",opt orchestra,,,,,,,,,,,,,,,,,
,"Britten, Benjamin","Song of the Fisherman (chorus from ""Peter Grimes""",118,56,SATB,Boosey & Hawkes,,,,Piano,,,,,,,,,,,,,,,,,
,"Britten, Benjamin",This Little Babe,119,58,SATB,Boosey & Hawkes,,,Christmas,Harp (opt piano),,,,,,,,,,,,,,,,,
,"Britten, Benjamin",Noye's Fludde (The Chester Miracle Play),922,30,3-part,Boosey & Hawkes,,,,,,,,,,,,,,,,,,,,,
,"Britten, Benjamin",A Boy Was Born,1300,20,SATB,Oxford,,,"Extended, Christmas",Organ or a cappella,,,,,,,,,,,,,,,,,
,"Britten, Benjamin","This Little Babe (from ""A Ceremony of Carols"")",2384,20,SSA,Boosey & Hawkes,,,,Piano or harp,,,,,,,,,,,,,,,,,
,"Britten, Benjamin",Five Flower Songs Op. 47,2605,35,SATB,Boosey & Hawkes,,,Extended Work,Orchestra,,,,,,,,,,,,,,,,,
,"Britten, Benjamin",Noye's Fludde (The Chester Miracle Play),2617,10,SATB,Boosey & Hawkes,,,Extended Work,"Piano, orchestra",,,,,,,,,,,,,,,,,
,"Britten, Benjamin",A Ceremony of Carols,2618,45,SSA ,Boosey & Hawkes,,,Collection ,Piano or harp,,,,,,,,,,,,,,,,,
,"Britten, Benjamin",A Ceremony of Carols,2619,13,SATB,Boosey & Hawkes,,,Collection ,Piano or harp,,,,,,,,,,,,,,,,,
,"Britten, Benjamin",Ballad of Green Brown,110 /2 envelopes,45,SATB,Boosey & Hawkes,,,,A cappella,,,,,,,,,,,,,,,,,
,"Britten, Benjamin",Lift Boy,1940 /2 envelopes,38,SATB,Boosey & Hawkes,,,,Piano,,,,,,,,,,,,,,,,,
,"Britten, Benjamin",Choral Dances from Gloriana,1984 /3 envelopes,24,SATB,Boosey & Hawkes,,,,A cappella,,,,,,,,,,,,,,,,,
,"Britten, Benjamin",Rejoice in the Lamb,1986 /2 envelopes,111,SATB,Boosey & Hawkes,,,,Soli and organ,,,,,,,,,,,,,,,,,
,"Britten, Benjamin",Festival Te Deum,960 /2 envelopes,30,SATB,Boosey & Hawkes,,,Extended,Organ,,,,,,,,,,,,,,,,,
,"Brubeck, Dave",La Fiesta de la Posada,1097,32,SATB,Shawnee Press,,,"Extended, Christmas","Piano, guitars, trumpets, string bass and percussion",,,,,,,,,,,,,,,,,
"Robinson, Russell","Bruckner, Anton",Locus Iste,52,20,TTB,Mark Foster,,,Latin,Optional Piano,,,,,,,,,,,,,,,,,
,"Bruckner, Anton",Ave Maria,120,42,SATB,E.B. Marks,,,,A cappella,,,,,,,,,,,,,,,,,
,"Bruckner, Anton",Christus factus est,121,25,SATB,Summy-Birchard,,,,A cappella,,,,,,,,,,,,,,,,,
,"Bruckner, Anton",Offertorium,122,59,SATB,C.F. Peters,,,Motet,3 Trombones,,,,,,,,,,,,,,,,,
,"Bruckner, Anton",Ave Regina Coelorum,1446,20,SATB,Copies,,,Motet,A cappella,,,,,,,,,,,,,,,,,
,"Bruckner, Anton",Mass in E Minor,2602,21,SATB,Belwin Mills,,,Extended Work,"Orchestra, double choir",,,,,,,,,,,,,,,,,
,"Bruckner, Anton",Te Deum,2614,67,SATB,Edition Peters,,,Extended Work,Piano,,,,,,,,,,,,,,,,,
,"Bruckner, Anton",Psalm 150,123 /2 envelopes,61,SATB,"Associated Music Publishers,  Inc.",,,,"Soprano Solo, Orchestra",,,,,,,,,,,,,,,,,
,"Brusey, Dom Gregory",The Bells of Bethlehem,1605,3,Unison,MCA Music,,,Christmas,Piano,,,,,,,,,,,,,,,,,
,"Brye, Joseph",Idaho Suite,125 /2 envelopes,44,SATB,,,,,A cappella,,,,,,,,,,,,,,,,,
,"Brye, Jospeh",Day Moon,124,34,SATB,,,,,A cappella,,,,,,,,,,,,,,,,,
,"Buck, Dudley",Festival Te Deum,126,16,SATB,Oliver Ditson Co.,,,,Organ,,,,,,,,,,,,,,,,,
Hunter & Shaw,"Buckley, R. Bishop",Wait For the Wagon,2125,15,TTBB,Lawson Gould,,,,"A cappella, tenor solo",,,,,,,,,,,,,,,,,
,"Buckner, Anton",Ave Maria,1943,44,SSAATTBB,Walton Music,,,,A cappella,,,,,,,,,,,,,,,,,
,"Buckvich, Dan","Time, Love, and of Angels",1991,27,SATB,Copies,,,,"Piano, English horn",,,,,,,,,,,,,,,,,
,"Buckvich, Dan",The Bells,1987 /2 envelopes,52,SATB,,,,,A cappella,,,,,,,,,,,,,,,,,
,"Bukvich, Dan",Missa Minimalis,1325,25,SATB,No info,,,Short Mass,A cappella,,,,,,,,,,,,,,,,,
,"Bukvich, Dan",Four Phrases From Psalm 91,1461,30,SATB,Copies with permission,,,,Piano,,,,,,,,,,,,,,,,,
,"Bukvich, Dan",Idaho Fight Song Medley (for 2003 Vandaleer Reunion),2423,10,SATB,No infor,,,,`,,,,,,,,,,,,,,,,,
,"Bukvich, Dan",Missa de Montunos,2651,28,SATB,No info,,,Extended Work,"Winds, Brass, Percussion",,,,,,,,,,,,,,,,,
,"Bullard, Frederic Field",When Good Fellows Get Together,2160,4,TTBB,Oliver Ditson,,,,A cappella,,,,,,,,,,,,,,,,,
,"Bullard, Frederick Field",Winter Song,2153,10,TTBB,Oliver Ditson,,,,Piano,,,,,,,,,,,,,,,,,
,"Bunnell, Dewey",A Horse With No Name,1271,20,SATB,Warner Bros,,,Jazz,"Piano, opt rhythm section",,,,,,,,,,,,,,,,,
,Burden,Nowell Sing We,130,15,Treble Voices,,,,christmas,,,,,,,,,,,,,,,,,,
,"Burden, ",36. Ave Maria,127,17,Treble Voices,,,,,,,,,,,,,,,,,,,,,,
,"Burden, ","8. Deo gracias, Anglia",128,18,Treble Voices,,,,,,,,,,,,,,,,,,,,,,
,"Burden, ","2. Hail Mary, full of grace",129,13,Treble Voices,,,,,,,,,,,,,,,,,,,,,,
,"Burden, ",14. There is no rose,131,18,Treble Voices,,,,,,,,,,,,,,,,,,,,,,
,"Burleigh, H.T.","Two Negro Spirituals: 1. Deep River, 2. Dig My Grave",132,22,SATB,G. Schirmer,,,,A cappella,,,,,,,,,,,,,,,,,
,"Burleigh, H.T.","So Sad, a Negro Spiritual",133,90,"Alto Solo, SATB",G. Schirmer,,,,"Alto Solo, A cappella",,,,,,,,,,,,,,,,,
,"Burleigh, H.T.",Were You There?,134,29,SATTBB,G. Ricordi & Co.,,,,A cappella,,,,,,,,,,,,,,,,,
,"Burney, Chas.",Alta Trinità,135,62,SATB,G. Schirmer,,,,A cappella,,,,,,,,,,,,,,,,,
,"Burnham, Cardon",Christmas Fanfare,1321,25,SATB,Heritage Music,,,Christmas,Percussion,,,,,,,,,,,,,,,,,
Shaw-Parker,"Burns, Robert","Flow Gently, Sweet Afton",136,55,"Tenor solo, SATB",G. Schirmer,,,Scottish folk song,A cappella,,,,,,,,,,,,,,,,,
