library,composer,arranger,title,envelope,publisher,score_full/cond/oversized,missing_parts,playingtime,comments,column_11,column_12,column_13,column_14,column_15,column_16,column_17,column_18,column_19,column_20,column_21,column_22,column_23,column_24,column_25,column_26
Wind Bands,"Nicolai, Otto",Halle,Merry Wives of Windsor,184,Ditson,,,,,,,,,,,,,,,,,,,,
Wind Bands,O'Neill,,Silver Cord,185,Schirmer,full,,07:15:00,,,,,,,,,,,,,,,,,
Wind Bands,"Panella, Louis",,Paramount Overture,186,Wolkwein,,,,,,,,,,,,,,,,,,,,
Wind Bands,"Pares, Gabriel",Chidester,Pax et labor - (Peace & Production),187,Fox,full,,,,,,,,,,,,,,,,,,,
Wind Bands,"Persichetti, Vincent",,Divertimento for Band Op. 92,188,Ditson (presser),Full,,,,,,,,,,,,,,,,,,,
Wind Bands,"Phillips, Donald",lang,Conerto in Jazz,189,Mills,,,08:30:00,,,,,,,,,,,,,,,,,
Wind Bands,"Pierne, Gabriel",Chayette,In the Cathedral,190,"Schirmer, G.",cond.,,,,,,,,,,,,,,,,,,,
Wind Bands,"Pierne, Gabriel",beeler,March of the Leaden Soldiers,191,Boosey-Hawkes,,,,,,,,,,,,,,,,,,,,
Wind Bands,price,Leidzen,Three Negro Dances,192,presser co.,,,,,,,,,,,,,,,,,,,,
Wind Bands,"Prokofiev, Serge",Duthoit,"March & Scherzo from ""The Love of Three Oranges""",193,Boosey-Hawkes,,,05:00:00,,,,,,,,,,,,,,,,,
Wind Bands,"Prokofiev, Serge",Yoder,"March, Op. 99",194,Leeds,Cond,,02:30:00,,,,,,,,,,,,,,,,,
Wind Bands,"Prokofiev, Serge",Goldman,Athletic Festival March,195,Leeds,cond.,,04:30:00,,,,,,,,,,,,,,,,,
Wind Bands,"Prokofiev, Serge",Goldman,Peter and the Wolf - Triumphal March,196,marks,cond.,,,,,,,,,,,,,,,,,,,
Wind Bands,Rachmaninoff,Leidzen,Italian Polka,197,Axelrod,,,02:00:00,,,,,,,,,,,,,,,,,
Wind Bands,"Ravel, Maurice",paulson,Pavanne for a Dead Infant,198,Levant,cond.,,03:00:00,,,,,,,,,,,,,,,,,
Wind Bands,"Respighi, Ottorino",Leidzen,Pines of the Appian Way,199,,full,,,"From ""the pines of Rome"" suite",,,,,,,,,,,,,,,,
Wind Bands,"Schoenfeld, William",Ringwald,Battle Hymn of the Republic,200,Shawnee,,,,,,,,,,,,,,,,,,,,
Wind Bands,Rota,Dawson,Legend of the Glass Mountain,201,Fox,,,03:20:00,,,,,,,,,,,,,,,,,
Wind Bands,"Alford, Kenneth",,Mac & Mac,202,Boosey-Hawkes,,,,,,,,,,,,,,,,,,,,
Wind Bands,"Rimsky-Korsakov, Nikolai","O' Donnell, B.W.",Flight of the Bumble bee,202,Boosey-Hawkes,,,01:14:00,,,,,,,,,,,,,,,,,
Wind Bands,"Rimsky-Korsakov, Nikolai",Leidzen,Procession of Nobles,203,Fischer,cond.,,04:20:00,,,,,,,,,,,,,,,,,
Wind Bands,"Saint-Saëns, Camille",Laurendeau,Phaeton,203,Fischer,,,11:00:00,,,,,,,,,,,,,,,,,
Wind Bands,Rodgers and Hart,Sayino-Cooke,Blue Moon,204,Robbins,,,03:30:00,,,,,,,,,,,,,,,,,
Wind Bands,"Romberg, Sigmund",Overgard,American Humoresque,205,Robbins,,,04:00:00,,,,,,,,,,,,,,,,,
Wind Bands,"Rossini, G",Safranek,Semiramide,206,Fischer,,,14-15:00,,,,,,,,,,,,,,,,,
Wind Bands,Sacchini,Cafarella,"Pantomine from ""Le Cid""",207,Fischer,,,,,,,,,,,,,,,,,,,,
Wind Bands,"Saint-Saëns, Camille",Laurendeau,"Prelude to ""The Deluge""",208,Fischer,,,,,,,,,,,,,,,,,,,,
Wind Bands,"Schaum, John",Kundmann,Mountain Concerto,209,Belwin,full,,,,,,,,,,,,,,,,,,,
Wind Bands,"Schid, Adolph",,From the Days of George Washinton,210,,,,,,,,,,,,,,,,,,,,,
Wind Bands,"Schubert, Franz",Winterbottom,Rosamunde,211,Boosey-Hawkes,,,,,,,,,,,,,,,,,,,,
