library,composer,arranger,title,publisher,b-81.0,score,missing_parts,comments,drawer,type,column_12,column_13,column_14,column_15,column_16,column_17,column_18,column_19,column_20,column_21,column_22,column_23,column_24,column_25,column_26
Orchestra,"Mendelssohn, Felix",Moses - Tobani,Fingal's Cave Overture,Fischer,M-14.0,,,,7,Overture,,,,,,,,,,,,,,,
Orchestra,"Mendelssohn, Felix",,,Associated,M-15.0,Full,,,7,Misc.,,,,,,,,,,,,,,,
Orchestra,"Mendelssohn, Felix",W.F. Kretschmer,"""Midsummer Night's Dream"" Intermezzo & Nocture",Fischer,M-16.0,Piano,,,7,Misc,,,,,,,,,,,,,,,
Orchestra,"Mendelssohn, Felix",,"""Midsummer Night's Dream"" - Nocturne",Lucks,M-17.0,Full,,,7,Misc.,,,,,,,,,,,,,,,
Orchestra,"Mendelssohn, Felix",,"""A Midsummer Night's Dream"" - Overture",Breitkopf & Hartel,M-18.0,Full,,,7,Overture,,,,,,,,,,,,,,,
Orchestra,"Mendelssohn, Felix",,,Kalmus,M-19.0,Full,,,7,Misc.,,,,,,,,,,,,,,,
Orchestra,"Mendelssohn, Felix",,,Bourne,M-20.0,Full,,,7,Misc. Chorus Optional,,,,,,,,,,,,,,,
Orchestra,"Mendelssohn, Felix",,Sinfonia IX,Lucks,M-21.0,,,,7,String,,,,,,,,,,,,,,,
Orchestra,"Mendelssohn, Felix",,,Breidkopf & Hartel,M-22.0,,,,7,Symphony,,,,,,,,,,,,,,,
Orchestra,"Mendelssohn, Felix",,"Symphony No. 5, Op. 107 ""Reformation""",Lucks,M-23.0,Full,,,7,Symphony,,,,,,,,,,,,,,,
Orchestra,"Mennini, Louis",,Arioso for Strings,Eastman School of Music,M-24.0,,,,7,Strings,,,,,,,,,,,,,,,
Orchestra,"Meyerbeer, Giacomo",Dumont/Seredy,The Prophet - Coronation March,Fischer,M-25.0,Piano,,,7,March,,,,,,,,,,,,,,,
Orchestra,"Meyerbeer, Giacomo",,,Leo Feist,V-4.0 (A & B),,,Album of Operatic Airs - Filed under Verdi - Aida,11,Mis.,,,,,,,,,,,,,,,
Orchestra,"Mozart, W.A.",,Adagio and Fugue for String Orchestra,Broude Brothers,M-29.0,Full,,,7,Sting,,,,,,,,,,,,,,,
Orchestra,"Mozart, W.A.",,"Concerto for Bassoon in B Flat Major, K191",Lucks,M-30.0,Full,,,7,Concerto,,,,,,,,,,,,,,,
Orchestra,"Mozart, W.A.",,Concerto for Clarinet K.62,Kalmus & Lucks,M-31.0,,,,7,Concerto,,,,,,,,,,,,,,,
Orchestra,"Mozart, W.A.",,Concerto No. 1 for Flute in G Major,Breitkopf & Hartel,M-32.0,Full,,,7,Concerto,,,,,,,,,,,,,,,
Orchestra,"Mozart, W.A.",,"Concerto No. 2 for Flute in D Major, K-314",Lucks,M-33.0,Full,,,7,Concerto,,,,,,,,,,,,,,,
Orchestra,"Mozart, W.A.",,"Concerto No. 4 for Horn in E Flat Major, K-495",Lucks,M-34.0,Full,,,7,Concerto,,,,,,,,,,,,,,,
Orchestra,"Mozart, W.A.",,,Kalmus,M-35.0,Full,,,7,Concerto,,,,,,,,,,,,,,,
Orchestra,"Mozart, W.A.",,Concerto No. 13 for Piano and Orchestra,Kalmus,M-35.1,None,,String parts only no score or solo,8,Concerto,,,,,,,,,,,,,,,
Orchestra,"Mozart, W.A.",,"Concerto No. 20 for Piano in D Minor, K.466",Kalmus,M-36.0,Full,,,7,Concerto,,,,,,,,,,,,,,,
Orchestra,"Mozart, W.A.",,"Concerto No. 21 for Piano in C Major, K467",Kalmus,M-37.0,Full,,,7,Concerto,,,,,,,,,,,,,,,
Orchestra,"Mozart, W.A.",,"Concerto No. 23 for Piano in A Major, K.488",Goodwin & Tabb,M-38.0,Full,,,7,Concerto,,,,,,,,,,,,,,,
Orchestra,"Mozart, W.A.",,"Concerto No. 24 for Piano, K.491",Lucks,M-39.0,,,,7,Concerto,,,,,,,,,,,,,,,
Orchestra,"Mozart, W.A.",,Cocnerto in A Major No. 5 for Violin,Breitkopf & Hartel,M-40.0,,,,7,Concerto,,,,,,,,,,,,,,,
Orchestra,"Mozart, W.A.",,Divertimento No. 11,Lucks,M-40.5,Full,,,7,,,,,,,,,,,,,,,,
Orchestra,"Mozart, W.A.",,"Don Giovanni - Aria ""Finch' handal vino""",Lucks,M-41.0,Full,,,7,Misc.,,,,,,,,,,,,,,,
Orchestra,"Mozart, W.A.",,Don Giovanni - Overture,Hampton,M-42.0,Full,,,7,Overture,,,,,,,,,,,,,,,
Orchestra,"Mozart, W.A.",,Eine Kleine Nachtmusik K.525,Schott's,M-43.0,,,,7,Strings,,,,,,,,,,,,,,,
Orchestra,"Mozart, W.A.",Winter,"""Idomeneo"" Overture",Boodey & Hawkes,M-44.0,Full,,,7,Overture,,,,,,,,,,,,,,,
Orchestra,"Mozart, W.A.",,The Magic Flute - Ein Madchen Oder,Kalmus,M-45.0,Full,,,7,Misc.,,,,,,,,,,,,,,,
Orchestra,"Mozart, W.A.",,"""The Magic Flute"" - No. 15 In diesen Heil' gem",Lucks,M-46.0,Full,,,7,Misc.,,,,,,,,,,,,,,,
Orchestra,"Mozart, W.A.",,"""Magic Flute"" Overture K.V. 620",Associated,M-47.0,Full,,,7,Overture,,,,,,,,,,,,,,,
Orchestra,"Mozart, W.A.","Herfurth, C. Paul","""The Magic Flute"" Priest March",,M-48.0,,Full,"In Combination with E Lemere's ""Andantino""",7,March,,,,,,,,,,,,,,,
Orchestra,"Mozart, W.A.",,"""The Marriage of Figaro"" - No. 11 Canzona voi che",Lucks,M-49.0,Full,,,8,Misc.,,,,,,,,,,,,,,,
Orchestra,"Mozart, W.A.",,"The Marriage of Figaro - Deh Vieni, non Tardar",Lucks,M-50.0,Full,,,8,Misc.,,,,,,,,,,,,,,,
Orchestra,"Mozart, W.A.",,The Marriage of Figaro - Overture,Kalmus,M-51.0,,,,8,Overture,,,,,,,,,,,,,,,
Orchestra,"Mozart, W.A.",,"Missa in C Major No. 14, KV 317",Breitkopf & Hartel,M-52.0,Full,,,8,Chorus with Orchestra,,,,,,,,,,,,,,,
Orchestra,"Mozart, W.A.",,Missa No. 14 in C Major KV 317,Breitkopf & Hartel,M-52.0,Full,,,8,Mass with Chorus,,,,,,,,,,,,,,,
Orchestra,"Mozart, W.A.",,"Missa Brevis, KV 194 (In D Major)",,M-53.0,Full,,"for 4 voices, 2 violins, bass and organ",8,"Mass, Strings and Choral",,,,,,,,,,,,,,,
Orchestra,"Mozart, W.A.",,,Kalmus,M-53.0,Full,,,8,"Mass, Strings and Choral",,,,,,,,,,,,,,,
Orchestra,"Mozart, W.A.",,Requiem,Peters,M-54.0,,,,8,Chorus with Orchestra,,,,,,,,,,,,,,,
Orchestra,"Mozart, W.A.",,Requiem,Peters,M-54.0,,,,8,Chorus and Orchestra,,,,,,,,,,,,,,,
Orchestra,"Mozart, W.A.","Hoffmann, Adolf",Salzburger Symphonies,Moseler,M-55.0,,,,8,Strings,,,,,,,,,,,,,,,
Orchestra,"Mozart, W.A.",Winter,Shepherd King Overture,Boosey & Hawkes,M-56.0,Full,,,8,Overture,,,,,,,,,,,,,,,
Orchestra,"Mozart, W.A.",,Sinfonia concertate KV-Anh. 9,Kalmus,M-57.0,,,,8,Sinfonietta,,,,,,,,,,,,,,,
Orchestra,"Mozart, W.A.","Langey, Otto",Symphony in E Flat - Minuet,Schirmer,M-58.0,Piano,,,8,Movement from Symphony,,,,,,,,,,,,,,,
Orchestra,"Mozart, W.A.",,Symphony No. 31,Lucks,M-58.5,Full,,,8,,,,,,,,,,,,,,,,
Orchestra,"Mozart, W.A.",,"Symphony No. 35 ""Haffner"" K.385",Kalmus,M-59.0,,,,8,Symphony,,,,,,,,,,,,,,,
Orchestra,"Mozart, W.A.",,The Marriage of Figaro,,M-59.1,,,,,,,,,,,,,,,,,,,,
