Library,Composer,Arranger,Title,Drawer,Envelope,Copies,Score Type,Publisher,Performance Date,PlayingTime,Score (Full/Cond/Oversized),Comments
Choral,"Bizet, Georges",,Te Deum,mc. Lib. 2/1371,38,,Simrock/Hamburg,3/23/2000,,,,
Choral,"Bizet, Georges",,Valse Avec Choeur,64/1196,,SATB,,,,,,
Choral,"Black, Charles",,Let Charols Ring,4/74,62,,H.W. Gray Co.,,,,,
Choral,"Black, F.J.",,You Are Music,4/75,23,,Sam Fox,,,,,
Choral,"Blakeslee, S. Earle",,Drink to Me Only With Thine Eyes,4/76,24,,Music Products Corp.,,,,,
Choral,"Bloch, Ernest",,Sacred Service (Avodath Hakodesh),55/1098,,,Broude Brothers,,,,,
Choral,Bloom/Mercer,Joyce,Fools Rush In,63/1176,,,,,,,,
Choral,"Bobrowitz, David",,The Creation,62/1140,,,Walton Music,,,,,
Choral,"Bogert, Walter L.",,God of Years,4/78,19,,G. Schirmer,,,,,
Choral,"Boito, Arrigo",,"Prolog to the Opera ""Mefistofele""",4/80,33,,Educational Music Service,,,,,
Choral,"Borodin, Alexander",,Polovetzian Dance and Chorus (Prince Igor),4/79,17,,G. Schirmer,,,,,
Choral,"Bortniansky, Dimitri",,"Lo, A Voice to Heaven Sounding",4/81,35,,E.C. Schirmer Inc.,,,,,
Choral,"Bottomly, Joseph",,"My Bonnie Lass, She Smileth",4/82,57,,C.C. Birchard,,,,,
Choral,"Boulanger, Lili",,Renouveau (Spring),top shelf,39,SATT,G. Schirmer,,,,With Piano,
Choral,"Brahms, Johannes",Sally Herman,Gute Nacht,shelf/1512,38,SATB,Shawnee Press,3/4/2000,,,,
Choral,"Brahms, Johannes",,Angelic Greeting,shelf/1454,,,E.C. Schirmer Inc.,,,,#1 of Marian Lieder,
Choral,"Brahms, Johannes",,Brausten Alle Berge,57/1111,,,,,,,,
Choral,"Brahms, Johannes",,Da Unter Im Tale/In Stiller Nacht,4/83,43,,G. Schirmer,,,,,
Choral,"Brahms, Johannes",,Fest Und Gedenkspruche,62/1139,75,,,,,,,
Choral,"Brahms, Johannes",,Four Gypsy Song,72/1395,,,,,,,,
Choral,Brazilian Folk,"Afonzo, Daniel Rufino Jr.",Na Bahia Tem,Shelf 1,,40,SATB,Alliance,10/03,,a capella,
Choral,"Buggiani, A.",,Impara a fischiettar,Shelf 1,,40,SSAATTBB,,10/03,,a capella,
Choral,"Cacavas, John",,Protrait of Duke Ellington,42/927,,,Belwin Mills,,,,,
Choral,"Cain, Noble",,"America, My Own",7/140,65,,Harold Flammer Inc.,,,,,
Choral,"Cain, Noble",,"Angel Gabriel, The",7/141,48,,Boosey & Hawkes,,,,,
Choral,"Cain, Noble",,Ben In Summer,7/142,98,,Boosey & Hawkes,,,,,
Choral,"Cain, Noble",,By and By,7/143,25,,Gamble-Hinged Music Co.,,,,,
Choral,"Cain, Noble",,Chillun' Come on Home,7/144,43,,Raymond A. Hoffman,,,,,
Choral,"Cain, Noble",,Cloud,7/145,98,,Boosey & Hawkes,,,,,
Choral,"Cain, Noble",,Ezekiel Saw de Wheel,7/146,23,,Belwin Mills,,,,,
Choral,"Cain, Noble",,Hymn to the Night,7/147,68,,Raymond A. Hoffman,,,,,
Choral,"Cain, Noble",,I Been Buked,7/148,100,,Boosey & Hawkes,,,,,
Choral,"Cain, Noble",,In the Night Christ Came Walking,7/149,27,,G. Schirmer,,,,,
Choral,"Cain, Noble",,Madrigals and A Capella Choruses,shelf/1504,8,,Hall & McCreary Co.,12/9/1999,,,A Collection,
Choral,"Cain, Noble",,Music When Soft Voices Die,7/151,22,,Harold Flammer Inc.,,,,,
Choral,"Cain, Noble",,"Night Has a Thousand Eyes, The",7/152,31,,Harold Flammer Inc.,,,,,
Choral,"Cain, Noble",,"O Lord, Send the Fire",8/153,28,,Hall & McCreary Co.,,,,,
Choral,"Cain, Noble",,Ode To America,8/154,74,,Harold Flammer Inc.,,,,,
Choral,"Cain, Noble",,Ole Ark's A-Moverin',8/`55,70,,Harold Flammer Inc.,,,,,
Choral,"Cain, Noble",,Roll Chariot,8/156,21,,Harold Flammer Inc.,,,,,
Choral,"Cain, Noble",,Say Thou Lovest Me,8/157,64,,G. Schirmer,,,,,
Choral,"Cain, Noble",,Spirit ob de Lord Done Fell,8/158,125,,Boosey & Hawkes,,,,,
Choral,"Cain, Noble",,Stan Steady,8/159,94,,Boosey & Hawkes,,,,,
Choral,"Cain, Noble",,The Music of Life,7/150,42,,G. Schirmer,,,,,
Choral,"Cain, Noble",,Three Limericks,8/160,27,,Raymond A. Hoffman,,,,,
Choral,"Cain, Noble",,Tom-Big-Bee-River,8/161,94,,Boosey & Hawkes,,,,,
Choral,"Cain, Noble",,Wade In the Water,8/162,22,,G. Schirmer,,,,,
Choral,"Cain, Noble",,When Music Sounds,8/163,42,,Harold Flammer Inc.,,,,,
Choral,"Caldara, Antonio",,Alleluia,8/164,42,,Edition Musicus,,,,,
Choral,"Caldwell, Mary Elizabeth",,Sing Out For America,shelf/1528,5,,Hinshaw Music,3/7/2000,,,Unison Voices,
Choral,"Calvisius, Sethus",,Celebrated Christmas Song,8/165,16,,G. Schirmer,,,,,
Choral,"Campbell, Robert",,If We Ever Needed the Lord Before,shelf/1548,10,SATB,Carl Fischer,4/5/2000,,,,
Choral,"Campbell-Tipton, Louis",,A Spirit Flower,8/166,34,,G. Schirmer,,,,,
Choral,"Canic, J.",,Ave Maria,8/167,29,,Carl Fischer,,,,,
Choral,"Carey, Henry",Bennet,America The Beautiful,8/168,44,,Lawson-Gould,,,,,
Choral,"Carmichael, Hoagy","Chinn, Teena",Georgia On My Mind,shelf/1560,8,SATB,Peer International,4/6/2000,,,,
Choral,"Carmichael, Ralph",,Love is Surrender,65/1234,,,,,,,,
Choral,"Carpenter, Richard",Averre,Yesterday Once More,64/1203,,,,,,,,
Choral,"Carpentier, M.A.",,Midnight Mass for Christmas,mc. Lib. 4/1065,52,,,3/23/2000,,,,
Choral,"Carpentier, M.A.",,Song of the Birth of Our Lord Jesus Christ,9/173,26,,Concordia Pub. House,,,,,
Choral,"Carsi, Giuseppe",,Adoramus Te,8/169,68,,Neil A. Kjow,,,,,
Choral,"Carter, Elliot",,Heart Not So Heavy as Mine,8/170,15,,Assoc. Music Pub.,,,,,
Choral,"Carter, Elliot",,Muscians Wrestle Everywhere,9/171,16,,Music Press Inc.,,,,,
Choral,"Carter, John",,Alleluia,shelf/1552,10,SATB,Carl Fischer,4/5/2000,,,,
Choral,"Caviani, Ron",,Burst Into Music,shelf/1588,5,SATB,Mark Foster,4/17/2000,,,,
Choral,"Certon, Pierre",,Je le vous dirail! (I'll Say it Anyway!),73/1416,36,,Hinshaw Music,,,,,
Choral,"Chadwick, George W.",,Mexican Serenade,9/172,22,,Silver-Burdett,,,,,
Choral,"Chass, Blanche",,Hanukah Lights,70/1361,,,,,,,,
Choral,"Chatman, Stephen",,There is Sweet Music Here,shelf/1439,,SSAATTBB,Jaymar Music,,,,A Capella - Oboe Obbligato,
Choral,"Chaves, Carlos",,Tierra Mojada (Wet Earth),9/174,47,,Boosey & Hawkes,,,,,
Choral,"Chenoweth, Wilbur",,Of the Father's Love Begotten,9/175,51,SATB,Gould-Lawson,,,,,
Choral,Cherbuini,"Riegger, W.","Come, O Jesus Saviour Mine (Veni Jesu)",41/906,28,,,,,,,
Choral,"Chesnokov, Pavel",,Spaseniye sodelal (Savation is Created),73/1417,8 (full score),,Musica Russica,,,,Many individual parts (more full scores in 48/1007,
Choral,Chilcott,,"Gift to be Simple, The",shelf/1611,,SATB,Hal Leonard,,,,,
Choral,"Christiansen, F.M.",`,Praise to The Lord,9/186,55,,Augsburg Pub. House,,,,,
Choral,"Christiansen, F.M.",,Beautiful Savior,9/176,51,,Augsburg Pub. House,,,,,
Choral,"Christiansen, F.M.",,Celestial Spring - Exulatation,9/177,54,,Augsburg Pub. House,,,,,
Choral,"Christiansen, F.M.",,Clap Your Hands,9/178,51,,Augsburg Pub. House,,,,,
Choral,"Christiansen, F.M.",,Glorification IV,9/179,21,,Augsburg Pub. House,,,,,
Choral,"Christiansen, F.M.",,Hosanna,9/180,24,,Augsburg Pub. House,,,,,
Choral,"Christiansen, F.M.",,In Heaven Above,9/181,91,,Augsburg Pub. House,,,,,
Choral,"Christiansen, F.M.",,Lost in The Night,9/182,29,,Augsburg Pub. House,,,,,
Choral,"Christiansen, F.M.",,Lullaby on Christmas Eve,9/183,53,,Augsburg Pub. House,,,,,
Choral,"Christiansen, F.M.",,O Darkest Woe,9/184,53,,Augsburg Pub. House,,,,,
Choral,"Christiansen, F.M.",,O Sacred Head,9/185,6,,Augsburg Pub. House,,,,,
Choral,"Christiansen, F.M.",,Today There is Ringing,9/187,41,,Augsburg Pub. House,,,,,
Choral,"Christiansen, F.M.",,Vigil,9/188,27,,Augsburg Pub. House,,,,,
Choral,"Christiansen, F.M.",,When Curtained Darkness Falls,10/189,,,Augsburg Pub. House,,,,,
Choral,"Christiansen, Paul",,Festival Hymn,shelf/1604,3,SATB,Augsburg Pub. House,5/11/2000,,,,
Choral,"Christiansen, Paul",,O Thou Most High,10/190A,32,,G. Schirmer,,,,,
Choral,"Christianson, James",,America-Let Freedom Ring,10/190,,,Mimeographed Copies,,,,,
Choral,"Christy, Van A.",,Gently Johny,10/191,2,,G. Schirmer,,,,,
Choral,"Christy, Van A.",,While I did Watch My Sheep At Night,10/192,51,,G. Schirmer,,,,,
Choral,"Churchill, Stuart",Waring,Wandering,10/193,48,,Shawnee Press,,,,,
Choral,"Claflin, Avery",,Lament of April 15,10/194,42,,Assoc. Music Pub.,,,,,
Choral,"Clark, K.",,Pretty Saro,40/891,,,,,,,,
Choral,"Clausen, R.",,Deep River,73/1408,19,,Mark Foster,,,,,
Choral,"Clausen, R.",,"Water Is Wide, The",shelf/1606,35 + inst.,SATB Div.,Mark Foster,,,,"Inst. Parts Bb Clarinet, Horn in F, Cello",
Choral,"Clausen, Rene",,In Pace,Shelf 1,,40,SSAATTBB,Mark Foster,3/04,,a capella,
Choral,"Clausen, Rene",,"O My Luve's Like a Red, Red Rose",Shelf 2,,80,SATB,Mark Foster,3/04,,"with violin, cello and piano",
Choral,"Clement, John",,Flower of Beauty,71/1377,48,,,,,,,
Choral,"Clokey, Joseph W.",,"Blow, Blow, Thou Winter Wind",10/195,52,,C.C. Birchard Co.,,,,,
Choral,"Clokey, Joseph W.",,He's gone Away,10/196,22,,J. Fischer & Bro.,,,,,
Choral,Clough-Leighter,,"Galway Piper, The",10/197,45,,E.C. Schirmer Inc.,,,,,
Choral,"Coates, John",,"Winds of the 60's, The",52/1083,,,Shawnee Press,,,,,
Choral,"Cohon, Baruch J.","Cass, Blanche",Hanero & Halalu,shelf/1430,,,Mark Foster,,,,,
Choral,Cole/Mills,Shaw,Streighten Up and Fly Right,65/1249,,,,,,,,
Choral,"Coleridge-Taylor, S.",,Death of Minnehaha,58,1115,,Novello Co.,,,,,
Choral,"Coleridge-Taylor, S.",,Hiawatha's Wedding Fair,44/947,,,G. Schirmer,,,,,
Choral,"Collins, Don L.",,I Heard the Voice of Jesus Say,shelf/1537,5,,Cambiata Press,3/9/2000,,,,
Choral,"Concone, Giuseppe",,Fifty Lessons for the Medium Part of the Voice,68/1308,,,,,,,,
Choral,"Cooper, Irwin",,On Puddecombe Moor,10/198,14,,Mills Music Inc.,,,,,
Choral,"Cooper, Irwin",,When Jesus Christ Was Born,shelf/1581,4,,Cambiata Press,4/17/2000,,,,
Choral,"Copland, Aaron","Fine, Irving",I Bought Me a Cat,shelf/1423,8,,Boosey & Hawkes,,,,,
Choral,"Copland, Aaron","Fine, Irving",Long Time Ago,shelf/1616,32,SATB,Boosey & Hawkes,,,,,
Choral,"Copland, Aaron",R.W. White,At the River,shelf/1422,35,,Boosey & Hawkes,,,,,
Choral,"Copland, Aaron",Swift,Younger Generation,49/1051,,,,,,,,
